step,reward,loss,epsilon,hit
0,-0.05,,1.0,False
1,-0.05,,0.99988125,False
2,-0.05,,0.9997625,False
3,-0.05,,0.99964375,False
4,-0.05,,0.999525,False
5,-0.05,,0.99940625,False
6,-0.05,,0.9992875,False
7,0.7,,0.99916875,True
8,1.2,,0.99905,True
9,-0.05,,0.99893125,False
10,-0.05,,0.9988125,False
11,1.4,,0.99869375,True
12,-0.05,,0.998575,False
13,1.4,,0.99845625,True
14,1.2,,0.9983375,True
15,1.2,,0.99821875,True
16,-0.05,,0.9981,False
17,-0.05,,0.99798125,False
18,0.7,,0.9978625,True
19,0.7,,0.99774375,True
20,1.4,,0.997625,True
21,-0.05,,0.99750625,False
22,-0.05,,0.9973875,False
23,-0.05,,0.99726875,False
24,-0.05,,0.99715,False
25,1.0,,0.99703125,True
26,1.4,,0.9969125,True
27,0.8999999999999999,,0.99679375,True
28,1.4,,0.996675,True
29,-0.05,,0.99655625,False
30,-0.05,,0.9964375,False
31,-0.05,,0.99631875,False
32,0.5,,0.9962,True
33,-0.05,,0.99608125,False
34,-0.05,,0.9959625,False
35,-0.05,,0.99584375,False
36,0.5,,0.995725,True
37,-0.05,,0.99560625,False
38,1.2,,0.9954875,True
39,0.8999999999999999,,0.99536875,True
40,0.8999999999999999,,0.99525,True
41,-0.05,,0.99513125,False
42,0.8999999999999999,,0.9950125,True
43,1.1,,0.99489375,True
44,1.1,,0.994775,True
45,-0.05,,0.99465625,False
46,-0.05,,0.9945375,False
47,-0.05,,0.99441875,False
48,-0.05,,0.9943,False
49,1.0,,0.99418125,True
50,1.4,,0.9940625,True
51,1.0,,0.99394375,True
52,-0.05,,0.993825,False
53,-0.05,,0.99370625,False
54,1.0,,0.9935875,True
55,1.0,,0.99346875,True
56,1.0,,0.99335,True
57,-0.05,,0.99323125,False
58,0.5,,0.9931125,True
59,-0.05,,0.99299375,False
60,-0.05,,0.992875,False
61,1.0,,0.99275625,True
62,-0.05,,0.9926375,False
63,-0.05,,0.99251875,False
64,-0.05,,0.9924,False
65,1.0,,0.99228125,True
66,1.0,,0.9921625,True
67,1.0,,0.99204375,True
68,-0.05,,0.991925,False
69,-0.05,,0.99180625,False
70,-0.05,,0.9916875,False
71,1.0,,0.99156875,True
72,-0.05,,0.99145,False
73,0.5,,0.99133125,True
74,1.6,,0.9912125,True
75,-0.05,,0.99109375,False
76,1.4,,0.990975,True
77,0.7,,0.99085625,True
78,-0.05,,0.9907375,False
79,0.8999999999999999,,0.99061875,True
80,-0.05,,0.9905,False
81,-0.05,,0.99038125,False
82,-0.05,,0.9902625,False
83,-0.05,,0.99014375,False
84,-0.05,,0.990025,False
85,-0.05,,0.98990625,False
86,0.5,,0.9897875,True
87,-0.05,,0.98966875,False
88,-0.05,,0.98955,False
89,-0.05,,0.98943125,False
90,-0.05,,0.9893125,False
91,-0.05,,0.98919375,False
92,0.5,,0.989075,True
93,-0.05,,0.98895625,False
94,-0.05,,0.9888375,False
95,-0.05,,0.98871875,False
96,-0.05,,0.9886,False
97,-0.05,,0.98848125,False
98,-0.05,,0.9883625,False
99,0.7,,0.98824375,True
100,-0.05,,0.988125,False
101,-0.05,,0.98800625,False
102,-0.05,,0.9878875,False
103,-0.05,,0.98776875,False
104,-0.05,,0.98765,False
105,-0.05,,0.98753125,False
106,0.5,,0.9874125,True
107,0.5,,0.98729375,True
108,1.8,,0.987175,True
109,-0.05,,0.98705625,False
110,-0.05,,0.9869375,False
111,-0.05,,0.98681875,False
112,-0.05,,0.9867,False
113,-0.05,,0.98658125,False
114,-0.05,,0.9864625,False
115,-0.05,,0.98634375,False
116,0.7,,0.986225,True
117,0.7,,0.98610625,True
118,-0.05,,0.9859875,False
119,-0.05,,0.98586875,False
120,-0.05,,0.98575,False
121,1.2,,0.98563125,True
122,-0.05,,0.9855125,False
123,0.7,,0.98539375,True
124,0.8999999999999999,,0.985275,True
125,0.8999999999999999,,0.98515625,True
126,-0.05,,0.9850375,False
127,-0.05,,0.98491875,False
128,-0.05,,0.9848,False
129,0.7,,0.98468125,True
130,0.7,,0.9845625,True
131,-0.05,,0.98444375,False
132,1.6,,0.984325,True
133,-0.05,,0.98420625,False
134,-0.05,,0.9840875,False
135,-0.05,,0.98396875,False
136,-0.05,,0.98385,False
137,1.6,,0.98373125,True
138,-0.05,,0.9836125,False
139,-0.05,,0.98349375,False
140,1.8,,0.983375,True
141,1.2,,0.98325625,True
142,1.4,,0.9831375,True
143,-0.05,,0.98301875,False
144,-0.05,,0.9829,False
145,-0.05,,0.98278125,False
146,-0.05,,0.9826625,False
147,-0.05,,0.98254375,False
148,1.4,,0.982425,True
149,1.2,,0.98230625,True
150,1.2,,0.9821875,True
151,-0.05,,0.98206875,False
152,-0.05,,0.98195,False
153,-0.05,,0.98183125,False
154,-0.05,,0.9817125,False
155,-0.05,,0.98159375,False
156,0.7,,0.981475,True
157,-0.05,,0.98135625,False
158,0.7,,0.9812375,True
159,0.8999999999999999,,0.98111875,True
160,-0.05,,0.981,False
161,-0.05,,0.98088125,False
162,-0.05,,0.9807625,False
163,-0.05,,0.98064375,False
164,-0.05,,0.980525,False
165,-0.05,,0.98040625,False
166,-0.05,,0.9802875,False
167,-0.05,,0.98016875,False
168,0.5,,0.98005,True
169,0.7,,0.97993125,True
170,-0.05,,0.9798125,False
171,-0.05,,0.97969375,False
172,-0.05,,0.979575,False
173,-0.05,,0.97945625,False
174,-0.05,,0.9793375,False
